black,#000000,,"""black"" to ""#000000"","
silver,#c0c0c0,,"""silver"" to ""#c0c0c0"","
gray,#808080,,"""gray"" to ""#808080"","
white,#ffffff,,"""white"" to ""#ffffff"","
maroon,#800000,,"""maroon"" to ""#800000"","
red,#ff0000,,"""red"" to ""#ff0000"","
purple,#800080,,"""purple"" to ""#800080"","
fuchsia,#ff00ff,,"""fuchsia"" to ""#ff00ff"","
green,#008000,,"""green"" to ""#008000"","
lime,#00ff00,,"""lime"" to ""#00ff00"","
olive,#808000,,"""olive"" to ""#808000"","
yellow,#ffff00,,"""yellow"" to ""#ffff00"","
navy,#000080,,"""navy"" to ""#000080"","
blue,#0000ff,,"""blue"" to ""#0000ff"","
teal,#008080,,"""teal"" to ""#008080"","
aqua,#00ffff,,"""aqua"" to ""#00ffff"","
orange,#ffa500,,"""orange"" to ""#ffa500"","
aliceblue,#f0f8ff,,"""aliceblue"" to ""#f0f8ff"","
antiquewhite,#faebd7,,"""antiquewhite"" to ""#faebd7"","
aquamarine,#7fffd4,,"""aquamarine"" to ""#7fffd4"","
azure,#f0ffff,,"""azure"" to ""#f0ffff"","
beige,#f5f5dc,,"""beige"" to ""#f5f5dc"","
bisque,#ffe4c4,,"""bisque"" to ""#ffe4c4"","
blanchedalmond,#ffebcd,,"""blanchedalmond"" to ""#ffebcd"","
blueviolet,#8a2be2,,"""blueviolet"" to ""#8a2be2"","
brown,#a52a2a,,"""brown"" to ""#a52a2a"","
burlywood,#deb887,,"""burlywood"" to ""#deb887"","
cadetblue,#5f9ea0,,"""cadetblue"" to ""#5f9ea0"","
chartreuse,#7fff00,,"""chartreuse"" to ""#7fff00"","
chocolate,#d2691e,,"""chocolate"" to ""#d2691e"","
coral,#ff7f50,,"""coral"" to ""#ff7f50"","
cornflowerblue,#6495ed,,"""cornflowerblue"" to ""#6495ed"","
cornsilk,#fff8dc,,"""cornsilk"" to ""#fff8dc"","
crimson,#dc143c,,"""crimson"" to ""#dc143c"","
cyan,#00ffff,,"""cyan"" to ""#00ffff"","
aqua,#00ffff,,"""aqua"" to ""#00ffff"","
darkblue,#00008b,,"""darkblue"" to ""#00008b"","
darkcyan,#008b8b,,"""darkcyan"" to ""#008b8b"","
darkgoldenrod,#b8860b,,"""darkgoldenrod"" to ""#b8860b"","
darkgray,#a9a9a9,,"""darkgray"" to ""#a9a9a9"","
darkgreen,#006400,,"""darkgreen"" to ""#006400"","
darkgrey,#a9a9a9,,"""darkgrey"" to ""#a9a9a9"","
darkkhaki,#bdb76b,,"""darkkhaki"" to ""#bdb76b"","
darkmagenta,#8b008b,,"""darkmagenta"" to ""#8b008b"","
darkolivegreen,#556b2f,,"""darkolivegreen"" to ""#556b2f"","
darkorange,#ff8c00,,"""darkorange"" to ""#ff8c00"","
darkorchid,#9932cc,,"""darkorchid"" to ""#9932cc"","
darkred,#8b0000,,"""darkred"" to ""#8b0000"","
darksalmon,#e9967a,,"""darksalmon"" to ""#e9967a"","
darkseagreen,#8fbc8f,,"""darkseagreen"" to ""#8fbc8f"","
darkslateblue,#483d8b,,"""darkslateblue"" to ""#483d8b"","
darkslategray,#2f4f4f,,"""darkslategray"" to ""#2f4f4f"","
darkslategrey,#2f4f4f,,"""darkslategrey"" to ""#2f4f4f"","
darkturquoise,#00ced1,,"""darkturquoise"" to ""#00ced1"","
darkviolet,#9400d3,,"""darkviolet"" to ""#9400d3"","
deeppink,#ff1493,,"""deeppink"" to ""#ff1493"","
deepskyblue,#00bfff,,"""deepskyblue"" to ""#00bfff"","
dimgray,#696969,,"""dimgray"" to ""#696969"","
dimgrey,#696969,,"""dimgrey"" to ""#696969"","
